beat_ID,beat,zone
1,305,3
2,601,6
3,410,4
4,407,4
5,414,4
6,210,2
7,408,4
8,211,2
9,206,2
10,403,4
11,307,3
12,502,5
13,511,5
14,301,3
15,212,2
16,304,3
17,412,4
18,207,2
19,409,4
20,313,3
21,404,4
22,503,5
23,411,4
24,606,6
25,505,5
26,302,3
27,201,2
28,506,5
29,508,5
30,204,2
31,105,1
32,611,6
33,113,1
34,401,4
35,603,6
36,512,5
37,102,1
38,101,1
39,205,2
40,609,6
41,310,3
42,610,6
43,114,1
44,107,1
45,108,1
46,308,3
47,501,5
48,406,4
49,507,5
50,604,6
51,613,6
52,111,1
53,413,4
54,509,5
55,607,6
56,303,3
57,110,1
58,104,1
59,306,3
60,112,1
61,106,1
62,605,6
63,309,3
64,614,6
65,209,2
66,510,5
67,208,2
68,311,3
69,612,6
70,109,1
71,202,2
72,405,4
73,103,1
74,312,3
75,608,6
76,504,5
77,402,4
78,602,6
